11018	69
11020	74
11021	73
11023	65
11025	76
11026	89
11031	59
11037	44
11043	1
11044	45
11050	59
11057	71
11058	69
11070	70
11072	65
11082	59
11088	59
11112	2
11121	69
11135	73
11136	64
11147	42
11149	70
11174	1
11209	75
11219	76
11224	84
11225	53
11235	50
11237	75
11250	49
11253	89
11257	72
11263	67
11306	56
11310	82
11311	86
11312	62
11313	63
11314	86
11315	54
11317	74
11318	36
11319	62
11322	69
11324	79
11329	88
11331	74
11332	41
11333	73
11337	66
11340	79
11650	57
11651	70
11654	1
11655	76
11659	2
11869	59
11871	54
14217	36
14218	36
14219	72
14220	42
14223	72
14227	86
14229	45
14230	70
14234	68
14235	82
14256	1
14257	45
14268	2
14278	67
14614	62
14615	36
14669	88
14817	87
14880	77
14886	78
14897	59
14965	83
14966	67
14974	59
14977	83
14980	1
14984	72
15145	81
15200	1
15338	56
15378	69
15416	37
15461	56
15484	67
15586	36
15607	79
15618	48
15648	43
15675	52
16064	86
16065	1
16067	76
16068	70
16070	74
16072	36
16074	69
16075	88
16076	1
16077	96
16079	42
16080	77
16093	49
16165	40
16324	57
16327	54
16363	54
16391	65
16414	71
16416	66
16483	88
16504	1
16531	91
16546	80
16570	2
16577	65
16584	69
16621	43
16717	70
17101	54
17102	68
17103	77
17104	36
17117	74
17119	93
17122	2
17126	36
17128	40
17130	57
17131	65
17136	2
17146	74
17187	86
17202	50
17305	85
17432	62
17594	61
17611	42
17633	51
17670	78
17701	51
17702	82
17704	46
17713	98
17726	1
17795	43
18251	64
18253	79
18254	41
18269	83
18296	85
18394	61
18461	63
18474	61
18529	1
18564	53
18630	53
18676	69
18701	50
18738	93
18739	80
18766	74
18779	74
18903	81
18917	46
19466	45
19467	52
19468	36
19469	65
19470	75
19507	59
20666	53
20667	77
20668	37
20669	43
20670	55
20671	1
20673	1
20674	94
20677	86
20678	65
20679	2
20682	78
20683	38
20686	73
20688	77
20698	36
20703	2
20846	82
20861	48
20917	72
20962	2
20996	91
21070	44
21240	49
21262	93
21280	76
21338	58
21360	60
21383	75
21415	66
21451	2
22283	36
22284	46
22285	71
22286	48
22287	73
22288	68
22289	51
22291	64
22295	2
22297	50
22310	55
22313	82
22329	68
22338	54
22417	88
22462	42
22588	36
22703	2
22777	58
22781	66
22790	39
22806	55
22901	72
22936	45
22966	52
22985	36
23004	85
23041	58
23098	48
23167	36
24216	1
24220	40
24222	40
24240	53
24262	50
24294	36
24296	93
24299	59
24300	69
24301	48
24302	54
24307	2
24312	51
24724	62
24873	77
24896	69
25291	84
25306	79
25369	43
25417	65
25437	44
25486	90
25739	85
25756	1
26834	75
26835	1
26844	56
26846	2
26854	61
26876	65
26889	80
26965	66
27043	41
27094	92
27163	66
27249	52
27284	64
27348	65
27545	1
27586	51
27672	72
27736	80
27738	2
27785	42
27798	36
27840	58
27908	65
27938	75
27981	42
28021	68
28055	43
28063	74
28083	84
28104	38
28122	51
28154	51
28183	60
28193	69
28222	49
31134	36
31136	64
31138	36
31140	42
31142	59
31143	2
31144	53
31145	47
31148	52
31154	40
31169	74
31172	2
31238	71
31265	2
31456	59
31625	36
31651	79
31724	56
31725	62
32235	47
32236	70
32237	36
32239	85
32364	63
32384	46
32391	70
32402	1
32425	89
32433	74
32795	2
32796	68
32797	52
32798	45
32799	41
32800	76
32801	39
32802	2
32804	57
32805	47
32807	54
32808	42
32810	42
32811	64
32814	60
32818	36
32821	36
32823	41
32827	42
32833	36
32835	77
32861	48
32881	70
32891	65
32964	52
32971	43
32976	49
33043	69
33047	42
33081	1
33085	47
33109	36
33112	42
33125	36
33162	54
33307	50
33338	78
33390	69
33415	1
33444	2
33480	62
33491	1
33521	49
33550	49
33579	63
33599	60
33635	40
33670	38
33711	50
33718	60
33757	52
33778	69
33783	36
33797	47
33802	52
33813	64
34629	60
34631	52
34632	75
34635	36
34639	45
34642	72
34645	83
34648	61
34657	1
34908	49
34999	75
35034	60
35091	67
35171	42
35181	47
35197	1
35210	73
35236	36
35255	2
35286	1
35300	58
35304	1
35309	68
35320	1
35339	2
35365	60
35368	36
35384	1
35404	56
35407	77
35447	36

