Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
1	SPb NRU ITMO 1 (Kapun, Kever, Nigmatullin)	+ (6:27)	+ (14:36)	+ (121:26)	+1 (218:12)	+ (69:29)	.	+2 (173:31)	.	+ (154:18)	+ (273:29)	+1 (60:06)	.	9	1168
2	Moscow SU 1 (Fedorov, Kaluzhin, Rogulenko)	+1 (25:23)	+ (45:20)	+1 (150:22)	+3 (157:09)	+ (37:07)	.	+ (78:31)	-3	+4 (141:43)	.	+ (66:53)	+2 (295:29)	9	1214
3	Belarusian SU 1 (Bahdanau, Pisarchyk, Sobol)	+ (13:41)	+ (38:27)	+1 (260:41)	+2 (163:41)	+ (67:16)	.	+ (145:29)	.	+1 (179:45)	.	+ (26:12)	-1	8	971
4	Saratov SU 2 (Ivanov, Kuznetsov, Rakhov)	+ (10:02)	+ (32:39)	+1 (221:04)	+2 (170:17)	+ (67:34)	.	+ (175:54)	-22	+ (214:40)	.	+ (98:33)	.	8	1047
5	SPb SU 1 (Andreev, Boykiy, Fondaratov)	+ (23:18)	+ (28:17)	+ (212:50)	+1 (295:40)	+ (100:17)	.	+ (211:05)	.	+ (121:00)	.	+ (66:27)	.	8	1076
6	Moscow SU 2 (Evstropov, Ivlev, Pyaderkin)	+ (8:57)	+2 (78:55)	+1 (265:09)	+ (116:05)	+ (158:37)	.	+ (164:05)	.	+ (138:33)	-5	+2 (68:41)	.	8	1095
7	SPb NRU ITMO 2 (Komarov, Mayorov, Melnikov)	+1 (29:34)	+ (51:26)	+1 (151:53)	+1 (202:52)	+ (63:47)	.	+2 (244:56)	.	+1 (161:40)	-1	+ (104:49)	.	8	1125
7	Saratov SU 1 (Agapov, Bondarenko, Fefer)	+ (21:21)	+ (58:09)	+1 (249:22)	+1 (140:38)	+ (43:39)	.	+2 (242:02)	.	+ (183:19)	-1	+ (109:11)	.	8	1125
9	Moscow IPT 1 (Dlugach, Gimadeev, Shishkin)	+ (5:02)	+ (40:16)	+ (259:32)	+2 (212:04)	+ (101:08)	.	+ (187:29)	.	+1 (172:01)	.	+3 (77:37)	-1	8	1173
10	Moscow IPT 3 (Chebanov, Rukhovich, Smirnov)	+ (15:47)	+ (22:12)	+2 (283:24)	+1 (77:30)	+ (104:19)	.	+1 (255:47)	.	+ (51:10)	.	+5 (201:46)	.	8	1188
11	Moscow SU 4 (Cherepanov, Kharitonov, Melnikov)	+2 (28:37)	+ (11:36)	+ (282:25)	+1 (146:06)	+ (44:52)	.	+ (55:47)	.	+4 (258:48)	.	+3 (199:24)	.	8	1223
12	Ural FU 1 (Dolgorukov, Schelkonogov, Soboleva)	+ (12:03)	+ (25:10)	+3 (242:15)	+4 (286:10)	+2 (97:20)	.	+2 (216:33)	.	+ (122:17)	.	+1 (96:17)	.	8	1336
13	Belarusian SU 3 (Liamtsev, Tereschuk, Udavichenka)	+ (13:19)	+ (21:54)	+1 (275:41)	+1 (161:57)	+1 (74:33)	.	+ (99:13)	.	-2	.	+ (41:10)	.	7	744
14	Altai STU 1 (Silin, Uvarov, Yesipenko)	+ (25:30)	+ (47:31)	+4 (284:39)	-7	+1 (125:05)	.	+ (178:29)	.	+1 (82:10)	.	+2 (148:06)	.	7	1049
15	Belarusian SU 2 (Belahlazau, Malevich, Zhgirovski)	+ (14:05)	+ (39:39)	-1	+ (242:28)	+ (116:30)	.	+1 (200:41)	.	+ (133:06)	.	+3 (253:31)	.	7	1077
16	Ural FU 2 (Fominykh, Mukhametianov, Rubinchik)	+ (25:01)	+ (41:11)	+ (180:32)	+1 (259:16)	+ (102:13)	.	-3	.	+ (199:03)	.	+6 (283:32)	.	7	1229
17	Ufa SATU (Lezhankin, Mazgarov, Ripatti)	+ (13:16)	+ (38:52)	.	.	+ (108:56)	.	+ (269:45)	.	+ (191:07)	.	+ (147:02)	.	6	766
18	Nizhny Novgorod SU (Lyulkov, Shmelev, Vadimov)	+ (10:07)	+ (28:24)	.	-1	+ (101:43)	.	+ (140:09)	.	+1 (191:36)	.	+4 (272:33)	.	6	842
19	Belarus SUIR 2 (Berezhnov, Brukau, Ropan)	+1 (23:46)	+ (49:52)	+3 (251:01)	.	+ (116:58)	.	+ (245:19)	.	-4	.	+ (83:28)	.	6	847
20	Udmurt SU (Abizyaev, Kibardin, Urbanovich)	+ (7:34)	+ (33:20)	+7 (289:09)	.	+ (113:34)	.	-2	.	+ (121:38)	.	+1 (168:00)	.	6	891
21	Belarusian SU 4 (Bogomolov, Rudol, Tsikhan)	+ (8:21)	+ (38:55)	+1 (210:59)	+1 (285:45)	+ (185:17)	.	-3	.	-20	.	+1 (118:15)	.	6	904
22	Latvian U 2 (Kalinicenko, Vihrovs, Vilcins)	+ (7:34)	+1 (60:22)	+1 (297:06)	-3	+2 (69:02)	.	+ (288:48)	.	+ (166:32)	.	-2	.	6	967
23	Kazakh-British TU 3 (Aitbayev, Satylkhanov, Almakhan)	+ (54:44)	+ (89:20)	+ (209:23)	.	+ (127:42)	.	-1	-1	+ (297:20)	.	+4 (263:18)	.	6	1119
24	Tomsk SU 1 (Chadnov, Kolupaev, Afanasev)	+4 (126:20)	+ (17:39)	.	+5 (219:06)	+ (172:17)	.	+ (278:52)	.	-4	.	+3 (106:12)	.	6	1158
25	Volgograd STU (Agafonov, Chalyshev, Zhorin)	+3 (39:32)	+ (35:02)	.	+3 (283:32)	+5 (161:59)	.	+1 (245:59)	.	-1	.	+9 (294:14)	.	6	1477
26	Orenburg SU (Savelyev, Subbotin, Yakovleva)	+ (8:56)	+2 (48:12)	.	.	+1 (141:43)	.	+ (62:18)	.	+ (253:41)	.	-3	.	5	572
27	SPb SU 3 (Karpov, Smykalov, Udalov)	+ (23:44)	+ (70:20)	-3	+3 (203:19)	+1 (146:56)	.	.	.	.	.	+ (82:15)	.	5	604
28	Moscow SU 3 (Dubinin, Mokin, Sadkov)	+ (10:56)	+ (21:16)	.	.	+ (112:32)	.	+2 (278:33)	.	-1	.	+2 (113:51)	.	5	614
29	SPb AU 1 (Gladkikh, Krasko, Lazarev)	+ (10:44)	+1 (53:34)	.	.	+ (80:50)	.	-2	.	+ (142:03)	.	+2 (293:10)	.	5	638
30	Novosibirsk SU 2 (Beloshapko, Dibert, Mezin)	+ (25:39)	+ (21:05)	.	.	+ (149:08)	.	+ (237:20)	.	.	.	+1 (191:44)	.	5	643
31	Moscow EPhI (Egorov, Kolmar, Minaev)	+1 (18:41)	+ (36:12)	.	.	+1 (144:34)	.	+ (159:39)	.	+ (253:23)	.	-4	.	5	650
32	Kazakh-British TU 2 (Aldan, Utkelbayev, Zhalgasbayev)	+ (22:05)	+ (41:31)	+ (282:02)	.	+ (97:40)	.	.	.	-1	.	+2 (178:31)	.	5	660
33	Novosibirsk SU 1 (Vasilevskiy, Zaytsev, Shcherbina)	+ (12:25)	+ (29:13)	.	+1 (170:00)	+ (140:01)	.	-1	.	+5 (280:27)	.	-1	.	5	751
34	Moscow IPT 2 (Mashrabov, Osipov, Tsigler)	+ (11:56)	+1 (76:51)	.	.	+1 (184:35)	-1	-13	.	+1 (171:29)	.	+1 (242:32)	.	5	764
35	South Ural SU (Belov, Bich, Tsybulevskiy)	+ (12:30)	+ (44:54)	.	.	+ (102:39)	.	.	.	+1 (282:01)	-1	+3 (252:33)	.	5	772
36	Moscow SU 5 (Kuzmin, Mazurik, Permin)	+ (13:15)	+ (47:34)	.	-2	+ (96:32)	.	.	.	+5 (241:44)	.	+3 (281:14)	.	5	838
