Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
1	Moscow I of Physics and Technology 1 (Golovanov, Ostanin, Uvarov)	+1 (71:23)	+ (25:57)	+1 (20:31)	+1 (70:14)	+ (9:56)	+1 (113:49)	+ (216:01)	.	+ (183:28)	.	+1 (289:13)	+1 (159:07)	10	1275
2	Moscow SU 1 (Ipatov, Makeev, Reznikov)	+1 (74:18)	+ (46:40)	+2 (33:03)	+2 (188:04)	+1 (10:29)	+1 (143:11)	-11	.	+ (200:04)	+1 (115:28)	+13 (264:37)	+ (94:23)	10	1587
3	SPb ITMO University 1 (Belonogov, Putilin, Zban)	+2 (62:21)	+ (25:59)	+ (36:37)	+ (109:20)	+ (5:40)	+3 (211:07)	+2 (290:09)	.	.	.	-14	+2 (129:50)	8	1047
4	SPb Academic U 4 (Belova, Fedorov, Sayutin)	+1 (117:35)	+1 (53:59)	+1 (52:08)	+ (187:06)	+1 (12:26)	+1 (296:46)	.	.	+ (268:27)	.	.	+ (151:51)	8	1236
5	Moscow I of Physics and Technology 2 (Belykh, Sergunin, Stepanov)	+ (202:52)	+1 (74:02)	+ (21:37)	+ (94:16)	+ (11:00)	+1 (184:34)	.	.	-1	+1 (286:47)	.	+4 (234:28)	8	1246
6	Moscow I of Physics and Technology 4 (Komendantian, Machula, Semenov)	+ (168:10)	+3 (52:26)	+ (39:58)	+ (150:02)	+ (8:25)	+1 (295:43)	.	.	+ (264:19)	.	.	+1 (219:25)	8	1295
7	Latvia U 2 (Civkulis, Klevickis, Larka)	+2 (236:31)	+2 (99:14)	+ (55:38)	+ (160:22)	+ (16:16)	+1 (293:44)	.	.	+2 (181:26)	.	.	+3 (282:53)	8	1522
8	Kazakh-British Technical U 1 (Aman, Amanov, Zhussupov)	+ (41:54)	+1 (92:56)	+ (64:39)	+ (170:52)	+2 (10:49)	-1	.	.	+1 (118:19)	.	.	+ (205:56)	7	780
9	SPb ITMO University 2 (Budin, Drozdova, Kirillov)	+1 (147:19)	+ (34:47)	+2 (40:31)	+1 (126:42)	+ (11:05)	+1 (122:35)	.	.	-5	.	.	+ (204:09)	7	784
10	Ural Federal U 1 (Borozdin, Leskov, Sivukhin)	+ (109:40)	+ (82:29)	+1 (59:26)	+1 (186:34)	+ (11:14)	+ (160:41)	.	.	-1	.	.	+2 (120:17)	7	807
11	Moscow I of Physics and Technology 3 (Kalinin, Makarov, Sharipov)	+ (189:20)	+ (24:17)	+1 (61:44)	+ (76:59)	+2 (15:01)	+2 (231:59)	.	.	-8	.	.	+1 (165:54)	7	881
