Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time	Medal
28	Ural FU 6 (Permyakov, Zuev, Mullabaev)	+3 (105:13)	.	+ (270:47)	.	+ (63:40)	+ (94:29)	+ (35:32)	.	.	.	.	+ (20:40)	+6 (239:23)	7	1006	
29	Belarusian SU 5 (Tsitsianok, Naradzetski, Siachko)	+1 (157:21)	.	+ (269:14)	.	+1 (68:43)	+ (87:30)	+ (36:38)	.	.	.	.	+ (18:50)	+4 (272:27)	7	1027	
30	U of Latvia 1 (Civkulis, Zajakins, Zajakins)	+1 (261:39)	.	-2	.	+ (113:56)	+1 (72:43)	+1 (70:44)	.	.	-2	+4 (219:58)	+ (11:20)	+1 (295:29)	7	1201	
31	Moscow Aviation I 2 (Mikhailov, Zimakov, Horielyshev)	+2 (247:49)	.	+5 (295:59)	.	+1 (33:52)	+ (97:03)	+ (66:25)	.	.	.	.	+ (43:17)	+6 (195:39)	7	1256	
32	Tbilisi Free U 1 (Skhirtladze, Tskhovrebov, Losaberidze)	+ (92:15)	.	-4	.	+ (22:03)	+1 (59:50)	+ (46:00)	.	.	.	.	+ (30:15)	+ (165:35)	6	434	
33	SPb br of NRU HSE 2 (Babushkin, Surkov, Makhnev)	+4 (97:38)	.	-1	.	+1 (36:58)	+ (63:09)	+ (26:47)	.	.	.	.	+ (11:51)	+1 (127:21)	6	480	
34	Volgograd STU (Nosov, Bulankin, Penskoy)	+ (144:41)	.	.	.	+ (68:19)	+ (64:00)	+ (33:46)	.	.	-1	.	+ (23:52)	+2 (243:39)	6	615	
35	Yerevan SU 1 (Mikaelyan, Galstyan, Muradyan)	+1 (179:06)	.	-12	.	+ (30:00)	+ (72:45)	+ (37:14)	.	.	.	.	+ (19:54)	+ (259:18)	6	616	
36	Tbilisi Free U 2 (Khosroshvili, Jikidze, Gamezardashvili)	+ (182:52)	.	.	.	+3 (46:26)	+1 (89:15)	+2 (72:08)	.	.	.	.	+ (7:51)	+ (154:50)	6	670	
37	Bauman Moscow STU 2 (Rudnev, Kudryavtsev, Zashikhin)	+1 (195:27)	.	.	.	+ (51:45)	+ (88:35)	+ (33:41)	.	.	.	.	+ (20:46)	+1 (261:35)	6	688	
38	Tyumen IU (Romanov, Artemov, Gilyazetdinov)	+1 (159:45)	.	.	.	+ (64:24)	+ (88:23)	+ (38:21)	.	.	.	.	+ (17:23)	+2 (279:14)	6	705	
39	Izhevsk STU 2 (Egorov, Musin, Zylev)	+ (143:57)	.	.	.	+ (86:10)	+ (100:29)	+ (49:17)	.	.	.	.	+ (33:55)	+1 (291:09)	6	722	
40	Belarusian SUIR 2 (Shavel, Udovin, Vishneuski)	+1 (143:04)	.	-1	-1	+ (108:28)	+ (76:42)	+ (33:32)	.	.	.	-1	+ (16:02)	+2 (287:56)	6	723	
41	NRU HS of Economics 3 (Ryabov, Yegorov, Zuev)	-2	.	.	.	+ (70:17)	+ (133:07)	+2 (38:36)	.	.	.	+1 (171:28)	+ (11:15)	+1 (257:46)	6	760	
42	Nizhny Novgorod SU 2 (Krivonosov, Krapivin, Ryabchikova)	+1 (189:20)	.	-1	.	+ (93:22)	+1 (126:41)	+ (77:01)	.	.	.	.	+ (18:49)	+ (223:31)	6	766	
43	Ural FU 4 (Lipin, Smirnov, Bazun)	+1 (251:01)	.	-3	.	+ (28:15)	+1 (121:07)	+ (53:02)	.	.	.	.	+ (41:52)	+ (255:14)	6	789	
44	Izhevsk STU 3 (Tatarinov, Bulatov, Filimonov)	+1 (177:43)	.	+1 (257:55)	.	+2 (87:01)	+ (151:02)	+ (38:27)	.	.	.	.	+1 (24:27)	-6	6	834	
45	Togliatti SU (Zakharov, Panin, Sabirov)	+6 (227:35)	.	-11	.	+ (79:25)	+ (68:29)	+1 (40:23)	.	.	.	.	+ (21:16)	+3 (201:11)	6	836	
46	Innopolis U 2 (Khujaev, Khakimiyon, Kochekov)	+5 (185:26)	.	+ (149:40)	.	+1 (125:53)	+1 (85:46)	+4 (63:35)	.	.	.	.	+ (10:59)	-8	6	837	
