Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time	Medal
138	NUST MISiS 1 (Boltikov, Petrova, Fadeev)	-3	.	.	.	+3 (132:54)	+ (260:16)	+4 (77:10)	.	.	.	.	+1 (20:32)	.	4	649	
139	Tomsk SU of CSR 1 (Tarabukin, Chernykh, Itskov)	+4 (188:55)	.	.	.	+1 (127:39)	-5	+5 (93:35)	.	.	.	.	+1 (29:23)	.	4	657	
140	Moscow Eng Phys I 1 (Klyuchnikov, Antonova, Loktionov)	-2	.	.	.	+3 (89:06)	.	+1 (138:41)	.	.	.	.	+ (109:55)	+2 (204:39)	4	660	
141	Tashkent br of MSU 2 (Sultanov, Abelkharisov, Ashirmatov)	-1	.	.	.	+ (146:44)	+4 (223:00)	+ (81:46)	.	.	.	.	+3 (94:40)	.	4	684	
142	Russian-Tajik Slav U (Safarov, Mirzoavliyoev, Abdurashidov)	.	.	.	.	+2 (160:32)	+4 (283:50)	+1 (78:40)	.	.	.	.	+ (38:22)	.	4	699	
143	Dushanbe br of MSU (Makhmudov, Fakhriev, Ikromov)	.	.	.	.	+3 (162:39)	+1 (212:07)	+6 (99:57)	.	.	.	.	+ (28:05)	.	4	701	
144	SPb Polytech U (Kalugin, Ovechkin, Kostenko)	.	.	.	.	+1 (142:19)	+4 (276:12)	+ (118:34)	.	.	.	.	+2 (84:58)	.	4	760	
145	Yaroslavl SU 3 (Tatanova, Maslenikov, Fedulov)	.	.	.	.	+ (195:32)	+1 (291:50)	+4 (154:46)	.	.	.	.	+ (38:54)	.	4	778	
146	Moscow Ped SU 1 (Butarev, Tishkov, Pronina)	.	.	.	.	+1 (264:15)	+1 (284:18)	+1 (152:57)	.	.	.	.	+ (57:03)	.	4	817	
147	Buryat SU 3 (Vanchikov, Chimitov, Ochirzhapov)	.	.	.	.	+ (99:59)	+ (268:36)	+5 (213:39)	.	.	.	.	+1 (127:03)	.	4	827	
148	Tomsk PU 2 (Babichev, Liao, Chursina)	+5 (225:48)	.	.	.	+2 (105:19)	.	+5 (254:12)	.	.	.	.	+1 (57:36)	.	4	901	
149	Kyrgyz STU 1 (Bolotbek-uulu, Tashiev, Omuraliev)	.	.	.	.	+7 (214:17)	+2 (125:52)	+1 (295:20)	.	.	.	.	+1 (59:36)	.	4	913	
150	Tbilisi Free U 5 (Emnadze, Kotoreishvili, Grdzelishvili)	.	.	.	.	+2 (216:05)	+9 (228:12)	+2 (84:33)	.	.	.	.	+2 (92:30)	.	4	920	
151	Rybinsk SATU (Spirov, Sudakov, Smirnov)	.	.	.	.	+2 (95:10)	+9 (298:27)	+1 (151:06)	.	.	.	.	+7 (121:17)	.	4	1045	
152	Ivanovo S Power U (Bolshakov, Sukhov, Lobanov)	.	.	.	.	+ (83:46)	-11	+ (14:42)	.	.	.	.	+ (33:02)	.	3	130	
153	Kazan FU 2 (Azimov, Serov, Nigmatullin)	-10	.	.	.	+ (75:39)	-10	+ (46:24)	.	.	.	.	+ (32:06)	.	3	153	
154	Kazakh-British TU 5 (Bolatbekov, Kali, Ayapbergen)	.	.	.	.	+3 (51:33)	-11	+1 (48:18)	.	.	.	.	+ (16:53)	.	3	195	
155	Far Eastern FU 3 (Batrakov, Gusarov, Shchurov)	-1	.	.	.	+1 (103:09)	-4	+ (61:39)	.	.	.	.	+ (20:27)	.	3	204	
155	American U of Armenia 1 (Stepanyan, Ashughyan, Mirakyan)	.	.	.	.	+ (96:35)	-8	+ (58:05)	.	.	.	.	+1 (30:40)	-2	3	204	
157	Nizhny Novgorod STU (Kazantaev, Tikhonov, Neimushchev)	-2	.	.	.	+ (107:44)	-7	+ (68:44)	.	.	.	.	+ (34:25)	.	3	209	
158	Izhevsk STU 1 (Kychanov, Kovalev, Kosukhin)	-1	-1	.	-1	+ (60:47)	-1	+ (113:10)	.	.	.	.	+ (38:00)	.	3	211	
159	Siberian SUTI 1 (Komarevtsev, Pletyuhin, Yun)	.	.	.	.	+ (52:31)	-11	+ (80:44)	.	.	.	.	+3 (35:48)	.	3	227	
159	Nizhny Novgorod br of NRU HSE (Natarov, Bazhmin, Sergeeva)	-2	.	.	.	+ (107:03)	-6	+2 (67:56)	.	.	.	.	+ (13:06)	.	3	227	
161	Tomsk PU 1 (Komarov, Pestova, Rybachenko)	-1	.	.	.	+2 (74:52)	-6	+1 (73:53)	.	.	.	.	+ (23:37)	.	3	230	
162	Perm SU 2 (Reutov, Pekhotin, Andreev)	.	.	.	.	+ (93:17)	-4	+1 (90:16)	.	.	.	.	+ (31:35)	.	3	234	
163	South Ural SU 4 (Petrov, Vays, Alkapov)	.	.	.	.	+ (83:14)	-9	+ (95:18)	.	.	.	.	+1 (38:40)	.	3	236	
164	Bashkir SU (Zagitov, Khabibullin, Malin)	-2	.	.	.	+ (35:12)	-2	+3 (98:08)	.	.	.	.	+ (55:41)	.	3	248	
165	International Ataturk-Alatoo U 3 (Zhusubaliev, Isaev, Sarygulov)	.	.	.	.	+1 (141:07)	-10	+ (58:01)	.	.	.	.	+ (37:51)	.	3	256	
166	Siberian S Trans U (Petrov, Modelov, Pozdnyakov)	.	.	.	.	+1 (51:30)	-50	+ (87:52)	.	.	.	.	+ (102:24)	.	3	260	
167	Far Eastern FU 2 (Babich, Zubarev, Dobrynin)	-1	.	.	.	+ (90:08)	-52	+1 (66:22)	.	.	.	.	+2 (52:38)	.	3	268	
168	Tbilisi French-Georgian U (Kashibadze, Rekhviashvili, Bachaliashvili)	.	.	.	.	+ (143:55)	.	+ (82:30)	.	.	.	-1	+ (47:19)	.	3	272	
169	Astrakhan SU (Kolesnikov, Ilmensky, Vasiliev)	.	.	.	.	+1 (67:17)	-2	+1 (105:28)	.	.	.	.	+1 (43:44)	.	3	275	
170	Tyumen SU (Pospelov, Osipov, Strokov)	.	.	.	.	+ (95:38)	.	+1 (49:09)	.	.	.	.	+ (113:57)	.	3	277	
171	Nazarbaev U 4 (Temir, Bolatov, Sariyev)	.	.	.	.	+ (187:32)	-1	+ (48:56)	.	.	.	.	+ (59:17)	.	3	294	
172	Tomsk SU 1 (Grudinin, Berzin, Fibe)	.	.	.	.	+1 (119:13)	-8	+2 (92:28)	.	.	.	.	+ (38:08)	.	3	309	
173	Chelyabinsk SU 2 (Voronin, Krendal, Zhernov)	-4	.	.	.	+ (52:28)	-4	+1 (121:23)	.	.	.	.	+1 (100:32)	.	3	313	
173	Samara NRU 1 (Burenkov, Andreev, Plankin)	-3	.	.	.	+1 (122:43)	.	+ (65:19)	.	.	.	.	+1 (86:23)	.	3	313	
173	Kutaisi SU 2 (Margvelashvili, Kldiashvili, Khantadze)	.	.	.	.	+ (176:46)	-6	+ (101:12)	.	.	.	.	+ (36:47)	.	3	313	
176	Tashkent U of IT 2 (Mamadaliyev, Nematullayev, Abdimanabov)	.	.	.	.	+1 (149:41)	-8	+1 (87:49)	.	.	.	.	+ (40:29)	.	3	316	
177	Novosibirsk SU 5 (Stryapkov, Kashirskiy, Kononov)	.	.	.	.	+2 (53:46)	-2	+ (114:48)	.	.	.	.	+1 (92:02)	.	3	319	
178	Tomsk PU 4 (Kharzheev, Balzhanov, Buldaev)	.	.	.	.	+ (168:10)	-15	+ (82:53)	.	.	.	.	+2 (30:48)	.	3	320	
179	Nazarbaev U 5 (Rakhmatullin, Khaireden, Aluadin)	.	.	.	.	+1 (144:45)	-2	+4 (68:53)	.	.	.	.	+ (9:23)	.	3	321	
180	Almaty SDU 2 (Maraimov, Sapayev, Yernat)	-1	.	.	.	+2 (113:51)	.	+1 (108:35)	.	.	.	.	+ (42:59)	.	3	323	
181	Irkutsk NRTU 2 (Dedkov, Skorobogatov, Chekan)	.	.	.	.	+ (153:09)	-2	+ (65:15)	.	.	.	.	+1 (87:09)	.	3	325	
182	Fergana br of TUIT 1 (Tojaliyev, Muxtorov, Shokirov)	.	.	.	.	+1 (65:10)	-8	+ (143:15)	.	.	.	.	+ (111:34)	.	3	339	
183	Tashkent br of MSU 3 (Kudratullayev, Makhsudov, Suyunbekova)	.	.	.	.	+1 (129:50)	-16	+2 (131:50)	.	.	.	.	+ (25:05)	.	3	345	
184	Brest SU (Slonevsky, Montik, Zianko)	.	.	.	.	+3 (169:54)	-1	+ (101:26)	.	.	.	.	+ (27:04)	.	3	357	
185	Vologda SU (Britvin, Zhitov, Yakushenkova)	.	.	.	.	+1 (154:15)	-7	+ (95:38)	.	.	.	.	+1 (77:58)	.	3	366	
186	Udmurt SU (Sidorov, Sokolovich, Nikitin)	.	.	.	.	+ (111:00)	.	+1 (162:08)	.	.	.	.	+1 (57:38)	.	3	370	
187	Kazakh-British TU 3 (Balzhanov, Okas, Ormanov)	.	.	.	.	+ (174:12)	-4	+2 (121:41)	.	.	.	.	+ (36:58)	.	3	371	
188	Altai STU 2 (Galkin, Kozlov, Kozlov)	.	.	.	.	+1 (114:28)	-8	+ (171:33)	.	.	.	.	+ (76:05)	.	3	381	
189	Siberian SUTI 2 (Ili, Varnakin, Boldakov)	.	.	.	.	+ (165:53)	-1	+3 (127:19)	.	.	.	.	+ (36:39)	.	3	388	
190	Buryat SU 1 (Badagarov, Guslyakov, Batalov)	-3	.	.	.	+2 (157:26)	.	+1 (121:46)	.	.	.	.	+1 (34:29)	.	3	392	
191	International IT U 4 (Abdrashim, Abdysalam, Bakhoduri)	-12	.	.	.	+4 (195:07)	.	+1 (71:23)	.	.	.	.	+ (27:38)	.	3	393	
192	Baku H Oil S 3 (Taghizada, Karimli, Baghirli)	.	.	.	.	+ (165:46)	.	+1 (187:47)	.	.	.	.	+ (27:28)	.	3	399	
193	NU of Uzbekistan (Khasanov, Karayev, Tojiboev)	.	.	.	.	+1 (60:06)	+ (220:28)	-2	.	.	.	.	+ (108:38)	.	3	408	
194	Tashkent br of MSU 4 (Shevtsova, Chernozubov, Validov)	.	.	.	.	+ (137:28)	-2	+ (81:30)	.	.	.	.	+1 (176:01)	.	3	414	
195	Tomsk PU 3 (Rakhmonkulov, Savchenko, Mnatsakanyan)	.	.	.	.	+ (168:42)	-12	+1 (124:58)	.	.	.	.	+3 (48:19)	.	3	420	
196	Eurasian NU 3 (Zhussupov, Abdilmanov, Nogayev)	.	.	.	.	+1 (185:25)	.	+3 (101:55)	.	.	.	.	+1 (35:17)	.	3	421	
197	Omsk SU 1 (Sakhno, Skripov, Magdin)	.	.	.	.	+4 (183:52)	-1	+ (79:47)	.	.	.	.	+ (96:51)	.	3	438	
198	Adyghe SU (Kirzhinov, Aleshin, Dokhuzhev)	.	.	.	.	+1 (184:14)	-4	+2 (139:25)	.	.	.	.	+1 (36:50)	.	3	439	
199	Tomsk SU 2 (Vygon, Odilov, Piskunov)	-2	.	.	.	+ (37:28)	.	+5 (202:16)	.	.	.	.	+1 (86:27)	.	3	445	
200	Kyrgyz-Russian Slav U 3 (Abdkarimov, Shamudinov, Aldaiarov)	.	.	.	.	+ (126:17)	-17	+3 (156:53)	.	.	.	.	+2 (68:12)	.	3	450	
201	Perm br of NRU HSE 1 (Petukhov, Chizha, Semenov)	-3	.	.	.	+1 (148:13)	.	+ (192:49)	.	.	.	.	+2 (60:07)	.	3	460	
202	South Ural SU 1 (Arkhipenko, Bragin, Golikov)	.	.	.	.	+1 (299:10)	-2	+ (99:15)	.	.	.	.	+ (44:53)	.	3	462	
203	Karaganda STU 1 (Daukishov, Kim, Velinskiy)	.	.	.	.	+3 (105:45)	.	+ (133:28)	.	.	.	.	+2 (150:11)	.	3	488	
204	Caucasus U 1 (Tchelidze, Maruashvili, Chkhetiani)	.	.	.	.	+1 (245:09)	.	+2 (129:42)	.	.	.	.	+1 (42:12)	.	3	496	
205	ADA U 1 (Askarov, Rasulzade, Zeynalli)	.	.	.	.	+ (231:45)	.	+2 (67:58)	.	.	.	.	+2 (131:42)	-3	3	509	
206	Samarkand br of TUIT 3 (Teshayev, Qo'chqorov, Salimov)	.	.	.	.	+ (279:01)	-2	+1 (140:43)	.	.	.	.	+ (106:54)	.	3	545	
207	Rubtsovsk Ind I (Nagih, Nagih, Lunev)	.	.	.	.	+5 (149:46)	.	+1 (176:24)	.	.	.	.	+2 (82:56)	.	3	567	
208	Russian-Armenian U 2 (Drambyan, Bagratunyan, Petrosian)	.	.	.	.	+2 (235:06)	-1	+2 (135:46)	.	.	.	.	+1 (107:28)	.	3	577	
209	Crimean FU 3 (Markov, Polonskiy, Petrukovich)	.	.	.	.	+3 (220:05)	.	+2 (174:02)	.	.	.	.	+1 (67:03)	.	3	581	
210	Almaty SDU 1 (Lekerov, Yerlan, Sovet)	.	.	.	.	+2 (294:58)	.	+1 (196:04)	.	.	.	.	+ (52:37)	.	3	602	
211	Samarkand br of TUIT 1 (Kholikulov, Botirov, Khamrokulov)	.	.	.	.	+ (206:11)	-4	+4 (219:33)	.	.	.	.	+ (118:34)	.	3	623	
212	Novosibirsk STU 1 (Utyuganov, Kozhekin, Sheprut)	.	.	.	.	+2 (260:22)	.	+4 (144:18)	.	.	.	.	+1 (84:01)	.	3	628	
213	Irkutsk SU 3 (Sosnerzh, Mironenko, Volkova)	.	.	.	-2	+ (57:34)	-4	+8 (242:22)	.	.	.	.	+4 (128:54)	.	3	667	
214	Kyrgyz-Russian Slav U 4 (Bubnov, Tropeyko, Abdirazakov)	.	.	.	.	+4 (74:51)	.	+6 (274:43)	.	.	.	.	+1 (103:33)	.	3	671	
215	Fergana br of TUIT 2 (Gafurov, Sattorov, Sharafiddinov)	.	.	.	.	+1 (295:49)	.	+1 (227:12)	.	.	.	.	+1 (91:32)	.	3	673	
216	Kyrgyz-German I of Applied Inf (Eshaliev, Nurlanbek-uulu, Mavlianov)	.	.	.	.	+3 (248:27)	.	+3 (279:35)	.	.	.	.	+ (39:47)	.	3	686	
217	Irkutsk SU 1 (Demakov, Taglasov, Bovkun)	.	.	.	.	+4 (224:37)	-7	+1 (261:05)	.	.	.	.	+3 (75:12)	.	3	720	
218	Samarkand br of TUIT 4 (Akhtamov, Khayrillayev, Asadullaev)	.	.	.	.	+2 (280:14)	.	+3 (207:12)	.	.	.	.	+ (160:22)	.	3	747	
219	Crimean FU 2 (Ivancha, Dudko, Travintsev)	.	.	.	.	+ (123:13)	.	+2 (296:05)	.	.	.	.	+6 (190:25)	.	3	769	
220	Khakas SU (Naletov, Borgoyakov, Kot)	.	.	.	.	+8 (213:39)	.	+4 (274:01)	.	.	.	.	+ (49:56)	.	3	776	
221	Baku EU 4 (Ashrafov, Murtuzaliyev, Aghayev)	.	.	.	.	+3 (182:03)	.	+1 (260:31)	.	.	.	.	+5 (267:55)	.	3	889	
222	American U of Armenia 3 (Shahumyan, Sarikyan, Bezirganyan)	-1	.	.	.	+20 (277:26)	.	+4 (246:59)	.	.	.	.	+ (42:19)	.	3	1045	
223	Baku SU 1 (Mustafayev, Qarayev, Isayev)	.	.	.	.	+ (117:37)	.	-2	.	.	.	.	+ (51:56)	.	2	168	
224	Omsk SU 2 (Buchinsky, Kovalev, Shipitsin)	.	.	.	.	+ (46:42)	.	.	.	.	.	.	+ (130:00)	.	2	176	
225	East-Siberian SU of Tech and Mgmt 1 (Tsyrendorzhiev, Badaev, Veselov)	.	.	.	.	+2 (95:56)	.	-14	.	.	.	.	+ (42:57)	.	2	177	
226	Baku H Oil S 4 (Abbasov, Aliyev, Naghizada)	.	.	.	.	+ (180:10)	.	.	.	.	.	.	+ (63:52)	.	2	243	
227	Caucasus U 4 (Skhirtladze, Airapetian, Barbakadze)	.	.	.	.	+ (130:13)	.	-12	.	.	.	.	+1 (99:15)	.	2	249	
228	Tbilisi SU 2 (Sakevarashvili, Shekiladze, Aptsiauri)	.	.	.	.	.	-4	+ (213:58)	.	.	.	.	+1 (85:41)	.	2	318	
229	Aktau SU 1 (Mukhanbetov, Amangos, Junebayev)	.	.	.	.	+3 (214:50)	.	-7	.	.	.	.	+1 (43:28)	.	2	337	
230	Baku H Oil S 1 (Piriyev, Huseynli, Samadli)	-1	.	.	.	+1 (138:24)	-1	-4	.	.	.	.	+2 (156:17)	.	2	354	
231	Altai STU 3 (Ushakova, Zhuikov, Shulga)	.	.	.	.	+ (174:23)	.	-4	.	.	.	.	+4 (111:20)	.	2	365	
231	Orenburg SU (Chumakov, Fadeeva, Gribovich)	.	.	.	.	+ (198:20)	.	-5	.	.	.	.	+ (167:16)	.	2	365	
233	Kazakh NU (Mambetniyazov, Mambetniyazov, Yerimbetov)	.	.	.	.	+2 (234:58)	-4	-3	.	.	.	.	+2 (77:15)	.	2	391	
234	South Ural SU 2 (Verezhnikov, Davydov, Emelyanov)	.	.	.	.	+2 (193:41)	.	+3 (113:07)	.	.	.	.	-7	.	2	406	
235	Caucasus U 3 (Gurgenidze, Japaridze, Kurdadze)	.	.	.	.	+3 (90:58)	.	.	.	.	.	.	+3 (225:23)	.	2	435	
236	Georgian TU 2 (Arveladze, Kutsia, Bitskinashvili)	.	.	.	.	+2 (292:31)	-2	-1	.	.	.	.	+ (146:49)	.	2	478	
237	French-Azerbaijan U 1 (Ibrahimli, Aghayev, Khudiyev)	.	.	.	.	+ (173:01)	.	+3 (284:39)	.	.	.	.	-5	.	2	517	
238	Ufa SATU 1 (Trubin, Nikitin, Zainullin)	.	.	.	.	.	-6	+1 (221:55)	.	.	.	.	+1 (260:16)	.	2	521	
239	Kazakh-Turkish U 1 (Seydulla, Faizullaev, Urazaliev)	.	.	.	.	+4 (289:40)	.	-1	.	.	.	.	+2 (135:36)	.	2	544	
240	Mozhaisky Mil Eng Aerospace U 2 (Scherbakov, Hovansky, Borisov)	.	.	.	.	+2 (162:11)	.	-1	.	.	.	.	+5 (297:36)	.	2	599	
241	American U of Armenia 2 (Manukyan, Baloyan, Sargsyan)	.	.	.	-2	.	.	-6	.	.	.	.	+ (45:14)	.	1	45	
242	Almaty SDU 3 (Parmanov, Gaidarov, Akilbek)	.	.	.	.	-1	.	.	.	.	.	.	+1 (67:55)	.	1	87	
243	Norilsk S Ind I (Galkov, Melnik, Vdovina)	-1	.	.	.	+ (101:44)	.	.	.	.	.	.	-1	.	1	101	
244	Baku H Oil S 2 (Jabrayilov, Balabayov, Gambarov)	.	.	.	.	.	.	-8	.	.	.	.	+1 (89:55)	.	1	109	
244	Tbilisi SANGU (Mamulashvili, Kurtskhalia, Abuladze)	.	.	.	-2	.	.	.	.	.	.	.	+ (109:03)	.	1	109	
246	Eurasian NU 2 (Zakrikchinov, Abdikalikova, Tleubergenov)	.	.	.	.	+ (116:18)	.	.	.	.	.	.	-1	.	1	116	
247	Azerbaijan S Oil and Ind U 2 (Jahangirbayov, Ismayilzada, Mammadnaghiyev)	-1	.	.	.	+ (123:19)	.	.	.	.	.	.	.	.	1	123	
248	Karaganda STU 2 (Lekhman, Tissen, Omar)	.	.	.	.	+ (142:16)	.	-2	.	.	.	.	.	.	1	142	
249	I of Space and IT Siberian FU 2 (Kapitonov, Korneev, Apanasenko)	.	.	.	.	+1 (123:47)	.	-3	.	.	.	.	-11	.	1	143	
250	Caucasus U 2 (Giunashvili, Apkhazishvili, Maziashvili)	.	.	.	.	.	.	-3	.	.	.	.	+3 (92:23)	.	1	152	
251	ADA U 2 (Rahimli, Abdulaliyev, Ismikhanov)	.	.	.	.	-1	.	-4	.	.	.	.	+ (179:53)	.	1	179	
252	International Ataturk-Alatoo U 2 (Zheksheev, Zholdubai-uulu, Chorobaev)	.	.	.	.	+1 (167:46)	.	.	.	.	.	.	-4	.	1	187	
253	Vladivostok SU of Economics and Service 1 (Turtygin, Artemeva, Cherdantseva)	.	.	.	.	+2 (183:38)	.	-7	.	.	.	.	.	.	1	223	
254	Kyrgyz-Turkish Manas U 2 (Shailoobek-uulu, Arykbaev, Kabylbekov)	.	.	.	.	.	.	-6	.	.	.	.	+4 (170:03)	.	1	250	
255	American U Central Asia 4 (Duisheev, Mamadnazar, Tagaev)	.	.	.	.	.	.	-1	.	.	.	.	+3 (195:45)	.	1	255	
256	Novosibirsk S Ped U (Kuznecov, Belikov, Kirilenko)	.	.	.	.	-5	.	.	.	.	.	.	+5 (171:30)	.	1	271	
257	Kazakh-Turkish U 2 (Tashkyn, Taspolat, Usen)	.	.	.	.	+ (299:38)	.	.	.	.	.	.	-11	.	1	299	
258	Baku SU 2 (Sharafaddinzada, Museyibli, Mammadov)	.	.	.	.	+4 (230:18)	.	-1	.	.	.	.	-2	.	1	310	
259	Khakas TI of Siberian FU (Abolentsev, Yatsutko, Lentsov)	.	.	.	.	+5 (225:56)	.	-3	.	.	.	.	.	.	1	325	
260	Irkutsk NRTU 1 (Ushakov, Kuroptev, Litvintsev)	.	.	.	.	+53 (293:32)	.	.	.	.	.	.	-2	.	1	1353	
261	Transbaikal SU (Gomboev, Melumyan, Chumilin)	.	.	.	.	.	.	-2	.	.	.	.	.	.	0	0	
261	Yugra SU (Baluev, Zavyalov, Kovalnogov)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	East-Siberian SU of Tech and Mgmt 2 (Brizhatyy, Tsyrempilon, Filippov)	.	.	.	.	.	.	-2	.	.	.	.	-7	.	0	0	
261	Siberian SUTI 3 (Afanasiev, Kiselev, Renjov)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Urgench br of TUIT 1 (Boltabayev, Davronov, Sabirov)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Samarkand SU (Qaytarov, Khayitmurodov, Meliboev)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	International Ataturk-Alatoo U 1 (Bolotbekov, Akunova, Akylbek-uulu)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Almaty SDU 4 (Bersugir, Akhmetkerey, Khuan)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Nukus br of TUIT (Dyagay, Dauletiyarov, Li)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Aktau SU 2 (Sarsenbek, Kassanov, Zhantileuov)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Kazakh NTU 2 (Sapargaliev, Tassybekov, Seyitmat)	.	.	.	.	.	.	.	.	.	.	.	-2	.	0	0	
261	Semey SU (Oralbaev, Mellatova, Sumbembaev)	.	.	.	.	.	.	-2	.	.	.	.	.	.	0	0	
261	Eurasian NU 4 (Amandos, Yessenbayev, Sultan)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Tashkent U of IT 4 (Fatkhullaev, Toshkanov, Bazarbayev)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Kyrgyz STU 3 (Podkopaeva, Suyumbaeva, Moskalenko)	.	.	.	-3	.	.	.	.	.	.	.	-1	.	0	0	
261	Urgench br of TUIT 2 (Abdullayev, Razzoqberdiyev, Sadullayev)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Eurasian NU 1 (Nagmetulla, Orynbassar, Pulanbekov)	.	.	.	.	.	.	-1	.	.	.	.	-2	.	0	0	
261	Kyrgyz-Turkish Manas U 1 (Aliev, Kudaiberdi-uulu, Alybaev)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Kazakhstan br of MSU 2 (Azatov, Ponamaryov, Vagner)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Samarkand br of TUIT 2 (Nurulloyev, Abdullayev, Sokhibnazarov)	.	.	.	.	.	.	-1	.	.	.	.	.	.	0	0	
261	Dushanbe br of MISIS (Karimov, Nazarov, Farmonov)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Kazakh NTU 1 (Tuimebay, Dauletiya, Daniyalov)	.	.	.	.	.	.	.	.	.	.	.	-4	.	0	0	
261	American U Central Asia 3 (Zhorobaev, Myrzaev, Turdaliev)	.	.	.	.	.	.	-6	.	.	.	.	-7	.	0	0	
261	Tajik NU (Muborakshoi, Bobiev, Sultonov)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Urgench SU (Ibragimov, Allashkurov, Avezmatov)	.	.	.	.	.	-1	.	.	.	.	.	.	.	0	0	
261	American U Central Asia 2 (Atalov, Urmatov, Osmonov)	.	.	.	.	.	.	-9	.	.	.	.	.	.	0	0	
261	Kyrgyz-Russian Slav U 1 (Kudaibergenov, Simonenko, Shevchenko)	.	.	.	.	.	-1	.	.	.	.	.	-1	.	0	0	
261	Kyrgyz-Russian Slav U 2 (Sabitakun, Kovylin, Nedoroslev)	.	.	.	.	-3	.	.	.	.	.	.	-3	.	0	0	
261	Ukhta STU (Krainikov, Petuhov, Potoropin)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Sterlitamak br of Bashkir SU (Nasyrova, Dalinsky, Kuznetsov)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Azerbaijan S Oil and Ind U 1 (Jafarov, Mammadov, Mammadli)	-1	.	.	.	-3	.	-1	.	.	.	.	-1	.	0	0	
261	Tbilisi IBSU 2 (Odishvili, Matiashvili, Miruashvili)	.	.	.	.	-1	.	.	.	.	.	.	-10	.	0	0	
261	Batumi SU (Pasieshvili, Giorgadze, Beria)	.	.	.	.	.	.	-1	.	.	.	.	.	.	0	0	
261	French-Azerbaijan U 3 (Mustafayev, Aghakishiyev, Mammadov)	.	.	.	.	.	.	-4	.	.	.	.	.	.	0	0	
261	Tbilisi SU 3 (Malishava, Aminashvili, Khanjaladze)	.	.	.	.	.	.	-2	.	.	.	.	.	.	0	0	
261	European U in Tbilisi (Shengelia, Khuchua, Arabuli)	.	.	.	.	.	.	.	.	.	.	.	-9	.	0	0	
261	Azerbaijan U (Alievi, Habibli, Zakirli)	.	.	.	.	.	.	-3	.	.	.	.	.	.	0	0	
261	Tbilisi SU 1 (Svanadze, Zabakhidze, Melia)	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	
261	Tbilisi SU 4 (Margishvili, Maisuradze, Nefaridze)	.	.	.	.	.	.	-5	.	.	.	.	-3	.	0	0	
	Total runs	466	53	122	19	571	681	592	11	5	50	65	495	282
	Accepted	81	0	27	0	250	149	225	1	2	5	20	249	66
	Rejected	385	53	95	19	321	532	367	10	3	45	45	246	216
	First Accept	42:03		127:40		17:14	14:19	14:42	210:23	216:12	203:04	79:08	7:35	67:53
	Last Accept	297:40		296:10		299:38	298:58	296:05	210:23	279:48	297:39	289:54	297:36	295:29
