Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
112	Tomsk SU of CSR 3 (Bukreyev, Rogazinskiy, Zakharov)	+6 (153:37)	+5 (270:47)	.	.	.	+3 (203:19)	.	.	.	+1 (108:16)	+ (27:55)	5	1061
113	Suleyman Demirel University 3 (Akhmetov, Issembergenov, Aimakov)	+1 (81:15)	+4 (222:25)	.	.	.	+ (273:54)	.	.	.	+7 (190:56)	+ (77:41)	5	1083
114	NU of Science and Technology MISiS 2 (Krohina, Ovchinkin, Lopukhov)	+3 (246:11)	+6 (247:16)	.	.	-1	+ (224:14)	.	.	-6	+1 (143:42)	+ (30:41)	5	1090
115	Ulyanovsk State Technical University (Folunin, Kondratiev, Korneev)	+1 (27:18)	+30 (286:18)	.	.	.	+ (101:09)	.	.	.	+1 (41:02)	+ (16:09)	5	1111
116	Kazakh National University named Al-Farabi 1 (Kovalev, Kapezov, Dautalinov)	+1 (39:08)	+13 (248:06)	.	.	.	+ (213:23)	.	.	.	+3 (259:38)	+1 (31:14)	5	1150
116	Far Eastern Federal University (Liahuta, Sporyshev, Blinov)	+1 (29:57)	+15 (166:35)	.	.	.	+2 (249:37)	.	.	.	+1 (289:15)	+1 (17:10)	5	1150
118	Free U of Tbilisi 9 (Chalagashvili, Bezhashvili, Tabatadze)	+1 (24:32)	+18 (294:06)	-1	.	.	+ (248:28)	.	.	.	+2 (203:12)	+ (36:15)	5	1225
119	Sevastopol National Technical University (Antonov, Solodyankin, Burkov)	+ (28:08)	+25 (281:14)	.	.	.	+8 (232:16)	.	.	.	+ (23:51)	+ (60:45)	5	1284
120	Moscow Institute of Electronic Technology 2 (Zhulikov, Tsyganov, Matrokhin)	+ (16:21)	-9	.	.	.	+1 (100:55)	.	.	.	+2 (72:09)	+ (27:16)	4	275
121	Vyatka State University (Kazakova, Tutinin, Rylov)	+ (31:14)	+1 (60:29)	.	.	.	+ (150:48)	.	.	.	-6	+1 (24:22)	4	305
122	Omsk STU 1 (Khvorykh, Sidorenko, Trubin)	+ (38:56)	-14	.	.	.	+ (178:34)	.	.	.	+ (66:01)	+ (27:52)	4	309
123	Khakas SU (Manzhugin, Mejekov, Petuhov)	+ (66:08)	.	.	.	.	+ (154:50)	.	.	.	+1 (90:50)	+ (33:08)	4	363
124	Novosibirsk STU 1 (Lobynya, Obukhov, Zelenskiy)	+ (37:02)	+1 (69:09)	.	.	.	-1	.	.	.	+3 (224:06)	+ (28:46)	4	438
125	Kazakh-British Technical University 4 (Sultanov, Ibraimov, Yesbolganov)	+1 (61:02)	-10	.	.	.	+ (151:56)	.	.	-1	+4 (101:37)	+ (30:08)	4	443
126	Plekhanov Russian Economic University (Kozlov, Bagdasaryan, Skobelkin)	+1 (112:47)	.	.	.	.	+ (194:23)	.	.	-5	+ (47:44)	+ (83:04)	4	456
127	Tomsk SU of CSR 2 (Argunov, Kupreychik, Zuev)	+2 (89:16)	+4 (162:38)	.	.	.	-4	.	.	.	+ (41:29)	+ (55:46)	4	467
128	Tomsk SU (Kotov, Milovanov, Zhukovskaja)	+ (45:21)	-8	.	.	.	+2 (272:08)	.	.	.	+ (98:28)	+ (36:03)	4	491
129	Russian-Armenian (Slavonick) SU 3 (Ioanisyan, Safrastyan, Melikyan)	+ (65:14)	-13	.	.	.	+ (272:37)	.	.	.	+ (122:13)	+ (42:10)	4	501
130	Kazakh National University named Al-Farabi 2 (Jantassov, Abiltaev, Leskhanuly)	+1 (36:53)	+1 (248:27)	.	.	.	-1	.	.	.	+1 (112:36)	+ (58:38)	4	514
131	Tomsk SU of CSR 1 (Chernousov, Soloviev, Trembovetskiy)	+1 (19:43)	+6 (203:06)	.	.	.	+ (98:56)	.	.	.	-27	+1 (36:33)	4	516
132	Izhevsk State Technical University 2 (Akkuzin, Suslov, Lebedenko)	+4 (207:26)	+ (140:47)	.	.	.	-4	.	.	.	+ (96:17)	+ (26:27)	4	549
