Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time
31	SPb State University 2 (Hulikau, Kulikov, Yuryev)	+ (42:53)	.	.	.	+ (241:03)	+2 (57:47)	.	+3 (91:43)	.	+ (149:51)	.	.	.	5	680
32	Rybinsk State Aviation Technical University 1 (Bolotin, Kamenko, Skrynnik)	+ (47:29)	.	.	.	+1 (237:39)	+ (122:32)	.	+1 (90:07)	-5	+1 (163:38)	.	.	.	5	719
33	Latvia University 2 (Civkulis, Klevickis, Larka)	+ (43:53)	.	.	.	+2 (194:43)	+ (46:53)	.	+3 (136:54)	.	+ (210:05)	.	.	.	5	729
34	Saratov State University 3 (Androsov, Dalabaev, Petrov)	+ (59:19)	.	.	.	+ (218:16)	+ (97:25)	.	+ (86:00)	.	+2 (238:05)	.	.	.	5	738
35	Moscow Institute of Physics and Technology 6 (Murzin, Romanenko, Ulyanin)	+1 (91:03)	.	.	.	+1 (216:27)	+ (153:04)	.	+ (62:07)	.	+1 (174:02)	.	.	.	5	756
36	SPb Academic University 3 (Fedorov, Tukh, Yutman)	+ (34:37)	.	.	.	.	+ (47:04)	.	+2 (81:49)	.	+4 (145:40)	.	+3 (286:32)	.	5	773
37	Immanuel Kant Baltic Federal University (Balobanov, Knizhnik, Mosyagin)	+ (102:42)	.	.	.	+1 (163:51)	+ (63:38)	.	+2 (108:28)	.	+ (282:11)	.	.	.	5	778
38	Higher School of Economics 3 (Iskhakov, Khadaev, Lazarev)	+ (82:02)	.	.	.	+1 (289:12)	+ (136:50)	.	+1 (123:45)	.	+1 (95:15)	.	.	.	5	785
39	Volgograd State Technical University (Nosov, Nozdrenkov, Penskoy)	+1 (81:10)	.	.	.	+ (127:44)	+ (91:46)	.	+ (73:58)	.	+7 (264:23)	.	.	.	5	796
40	Belarusian State University 1 (Kulik, Sataneuski, Vilcheuski)	+1 (52:47)	.	.	.	+ (218:09)	+ (78:42)	.	+ (21:51)	.	+11 (198:24)	-9	.	.	5	807
41	Moscow Aviation Institute 2 (Bezrukov, Grigoriev, Mokin)	+5 (96:31)	.	.	.	+ (159:36)	+ (114:37)	.	+ (90:09)	.	+2 (229:43)	.	.	.	5	828
