Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
48	Izhevsk State Technical University 2 (Naimushin, Tatarinov, Bulatov)	+1 (30:08)	.	.	.	+ (39:58)	+1 (86:04)	+1 (127:38)	.	.	.	-4	+ (185:14)	5	527
49	International IT U 1 (Kim, Satylkhanov, Sultan)	+ (12:13)	.	.	.	+ (28:04)	+3 (143:12)	+1 (77:01)	.	.	-3	.	+1 (176:12)	5	536
50	Kazan Federal University (Belov, Yamilov, Salyakhutdinov)	+ (16:41)	-1	.	.	+ (34:57)	+ (130:09)	+1 (85:33)	.	.	.	.	+ (261:56)	5	546
51	SPb Academic University 2 (Moskvitin, Smirnov, Plyushchenko)	+ (27:44)	.	.	.	+ (35:00)	+5 (147:07)	+1 (85:53)	.	.	+ (139:03)	-3	-2	5	553
52	Altai STU 1 (Golovin, Fast, Kostin)	+ (29:38)	-1	.	.	+ (26:10)	+ (61:39)	+ (105:14)	.	.	.	-7	+5 (286:09)	5	607
53	Skolkovo Institute of Science and Technology (Yakubovskiy, Grinchuk, Sannikov)	+ (31:43)	.	.	.	+ (43:41)	+1 (210:55)	+ (89:24)	.	.	+ (225:37)	.	.	5	618
54	Russian-Armenian (Slavonick) State University 1 (Hakobyan, Arakelyan, Grigoryan)	+ (23:33)	.	.	.	+ (12:18)	+3 (108:24)	+ (154:01)	.	.	.	.	+1 (260:00)	5	637
55	South Ural State University 1 (Sapronov, Shaveinikov, Korsun)	+ (13:28)	.	.	.	+ (26:38)	+1 (100:33)	+ (81:08)	.	.	-9	.	+6 (291:29)	5	651
56	Moscow Institute of Electronic Technology 2 (Bogolyubskiy, Kishechko, Muratshin)	+ (20:50)	.	.	.	+ (40:15)	+1 (257:17)	+ (195:10)	.	.	+ (125:19)	.	.	5	657
57	Yaroslavl State University (Akhremenko, Toropova, Kondakov)	+1 (32:16)	.	.	.	+ (39:28)	+1 (103:52)	+ (179:55)	.	.	+2 (239:59)	-3	.	5	672
58	Tomsk PU 1 (Kuzivanov, Vetrov, Golub)	+1 (35:13)	-1	.	.	+ (37:03)	+10 (295:40)	+ (73:15)	.	.	-5	.	+ (85:03)	5	745
59	Southern Federal University (Sviridkin, Sokirkina, Klevleev)	+ (18:24)	-1	.	.	+ (51:11)	+5 (170:24)	+ (83:29)	.	.	+5 (232:24)	.	.	5	754
60	Nazarbaev U 2 (Kassenov, Serikov, Zarlyk)	+ (24:43)	.	.	.	+ (15:53)	+7 (263:02)	+ (73:28)	.	.	+ (253:59)	.	.	5	768
61	Tartu University (Oja, Oopkaup, Lill)	+ (17:07)	-2	.	.	+ (29:29)	+5 (271:30)	+ (59:05)	.	.	.	.	+1 (277:48)	5	773
62	Kazakh-British TU 2 (Amanov, Bekbolatuly, Zhussupov)	+ (10:39)	.	.	.	+ (22:51)	+4 (138:16)	+3 (101:38)	.	.	-4	.	+4 (289:03)	5	780
63	Altai STU 3 (Renjov, Lopatin, Zyablitskiy)	+1 (28:43)	.	.	.	+ (43:35)	+1 (274:48)	+2 (103:16)	.	.	+2 (223:13)	.	.	5	791
64	Sevastopol State University (Baliasniy, Antonov, Burkov)	+2 (33:29)	.	.	.	+ (50:04)	+6 (212:06)	+ (76:08)	.	.	+ (269:33)	.	.	5	800
65	Moscow State University 1 (Pavlov, Dzhunusov, Pobegaylo)	+ (11:39)	.	.	.	+ (22:54)	+5 (170:06)	+ (95:44)	.	.	-12	+6 (287:53)	-4	5	805
66	Tyumen SU of Oil and Gas (Rasulov, Kobzar', Artemov)	+ (12:14)	.	.	.	+1 (27:26)	+7 (177:49)	+1 (131:35)	.	.	.	.	+1 (274:08)	5	821
67	Higher School of Economics 4 (Iskhakov, Sabyanin, Khadaev)	+2 (25:26)	.	.	.	+ (14:34)	+5 (122:33)	+2 (163:38)	.	.	-1	-2	+4 (251:53)	5	835
68	Moscow State University 4 (Bagrov, Lakhtanov, Kuplyakov)	+ (17:22)	.	.	.	+2 (43:44)	+8 (236:09)	+3 (165:32)	.	.	+ (259:21)	.	.	5	980
69	Belarusian State University 4 (Nestsiarovich, Lukyanov, Vityaz)	+ (14:04)	.	.	.	+ (19:25)	+1 (117:08)	+ (57:32)	.	.	-3	.	-5	4	227
70	Izhevsk State Technical University 1 (Maksimov, Poskrebyshev, Sutygin)	+ (17:01)	.	.	.	+ (31:36)	+1 (118:37)	+ (60:05)	.	.	.	.	.	4	246
71	Crimean National University 1 (Derhachov, Tyamgin, Sokolov)	+ (27:02)	.	.	-2	+ (21:49)	+1 (125:00)	+ (72:09)	.	.	.	-50	.	4	265
72	Voronezh State University 1 (Babkin, Tretyakova, Zemlyanuhin)	+ (24:08)	.	.	.	+ (15:30)	+ (148:10)	+ (94:58)	.	.	.	.	.	4	281
73	Voronezh State University 2 (Nogikh, Kuznetsov, Kharitonov)	+ (23:59)	.	.	.	+ (29:37)	+ (163:51)	+ (92:09)	.	.	.	.	.	4	307
74	Novosibirsk SU 1 (Matveev, Andreenko, Seredkin)	+ (34:05)	-1	.	.	+ (15:36)	+3 (125:36)	+ (90:59)	.	.	-117	.	.	4	324
75	Siberian SU of TI 1 (Turtsev, Ponomarev, Borodin)	+1 (27:28)	.	.	.	+ (41:26)	+ (108:17)	+3 (75:39)	.	.	-20	.	.	4	331
76	Higher School of Economics 1 (Shevchuk, Posobin, Mokriy)	+1 (31:13)	.	.	.	+ (19:41)	+3 (117:30)	+ (119:57)	.	.	.	-11	.	4	366
77	Urgench br of TUIT 2 (Aminov, Davronov, Jumaboyev)	+ (16:02)	.	.	.	+ (40:56)	+3 (178:56)	+ (75:30)	.	.	.	-5	.	4	369
78	Rybinsk State Aviation Technical University 1 (Skrynnik, Kamenko, Bolotin)	+ (32:19)	.	.	.	+ (30:51)	+4 (165:59)	+ (77:49)	.	.	.	.	-1	4	384
79	Belarusian State University 3 (Zdanovich, Zdanovich, Vasileuski)	+1 (17:12)	.	.	.	+ (24:03)	+2 (173:02)	+ (113:35)	.	.	-15	.	-2	4	387
80	Volgograd State Technical University 2 (Kichatov, Hieu, Gorbushin)	+ (24:52)	.	.	.	+ (38:05)	+1 (224:14)	+1 (67:04)	.	.	-3	.	-3	4	393
81	Latvia University 2 (Petersons, Civkulis, Larka)	+ (24:15)	.	.	.	+ (14:28)	-12	+2 (120:12)	.	.	.	+2 (177:18)	.	4	415
81	Nazarbaev U 3 (Jubatyrov, Khaitov, Orynkul)	+ (37:03)	.	.	.	+ (19:07)	+3 (225:18)	+ (74:58)	.	.	-5	.	.	4	415
83	Buryat SU 2 (Filippov, Bykova, Tsirempilov)	+1 (27:02)	.	.	.	+ (45:04)	+1 (136:12)	+ (170:35)	.	.	.	-9	-1	4	418
83	Tashkent br of MSU 1 (Akhmedshin, Bistrigova, Soliev)	+ (29:42)	.	.	.	+ (14:30)	+3 (241:25)	+ (74:10)	.	.	.	-21	.	4	418
85	American University of Armenia 1 (Gevorgyan, Hayrapetyan, Stepanyan)	+ (19:35)	.	.	.	+ (33:20)	+2 (134:27)	+2 (169:03)	.	.	-19	.	.	4	435
86	Prioksky State University 2 (Gasilov, Barbashov, Yakovlev)	+ (37:03)	.	.	.	+ (17:12)	+ (224:59)	+ (161:09)	.	.	-13	.	.	4	439
87	Crimean National University 2 (Bulatov, Stolyarov, Belozub)	+ (19:55)	.	.	.	+ (32:00)	+3 (222:16)	+2 (107:08)	.	.	.	.	.	4	480
88	Nazarbaev U 1 (Adilbekov, Kalmurzayev, Myrzakerey)	+ (15:04)	.	.	.	+ (26:01)	+3 (131:31)	+2 (216:17)	.	.	-3	.	-6	4	488
89	Petrozavodsk State University 1 (Starkov, Pyatin, Ermishin)	+ (29:38)	.	.	.	+1 (31:11)	-6	+3 (68:45)	.	.	.	.	+ (294:35)	4	502
90	Gomel Fr. Scaryna State University (Savastseika, Murashka, Golub)	+1 (26:32)	.	.	.	+ (36:59)	+8 (132:47)	+3 (69:57)	.	.	-12	.	.	4	503
91	South Ural State University 2 (Vasilenko, Abdrashitov, Mayorov)	+ (20:30)	.	.	.	+ (34:39)	+4 (265:34)	+ (105:04)	.	.	-1	.	.	4	504
92	Qafqaz University 2 (Mammadov, Sarayev, Allahverdiyev)	+1 (39:07)	-1	.	.	+ (23:53)	+3 (272:48)	+ (108:35)	.	.	.	.	.	4	522
93	Novosibirsk SU 2 (Taranov, Isachenko, Kishkanova)	+ (26:22)	.	.	.	+ (36:50)	+4 (285:59)	+ (99:39)	.	.	.	.	.	4	526
94	Moscow Institute of Physics and Technology 6 (Alsarmini, Surin, Pershakov)	+ (18:52)	.	.	.	+ (12:38)	+7 (231:31)	+ (134:59)	.	.	-1	-4	.	4	535
95	Ural Federal University 4 (Prosvirnina, Subbotina, Nazarov)	+ (27:27)	-1	.	.	+ (41:14)	-3	+1 (86:26)	.	.	+4 (286:47)	.	.	4	540
96	Kaunas University of Technology (Garbonis, Pranckaitis, Naru?is)	+ (26:13)	.	.	.	+ (13:46)	-1	+2 (193:26)	.	.	+1 (255:25)	.	.	4	547
97	Far Eastern Federal University (Danilov, Blinov, Liakhuta)	+ (23:18)	.	.	.	+ (32:49)	+2 (219:34)	+4 (155:06)	.	.	-22	.	.	4	549
98	Moscow Institute of Physics and Technology 3 (Stepanov, Nevstruev, Kalinichenko)	+ (19:43)	.	.	.	+ (24:41)	-8	+ (64:47)	.	.	.	.	+8 (298:36)	4	565
99	Tbilisi Freeuni 1 (Tskhovrebov, Nishnianidze, Azizyan)	+ (67:53)	.	.	.	+ (82:13)	-8	+3 (145:41)	.	.	+ (237:10)	.	-7	4	591
100	Udmurt State University (Nikitin, Korablinov, Khalimov)	+ (58:57)	.	.	.	+1 (39:58)	+2 (287:56)	+2 (116:30)	.	.	.	.	.	4	600
101	International IT U 2 (Chzhen, Dauirkhan, Talgatov)	+1 (20:25)	.	.	.	+ (34:51)	+11 (210:20)	+2 (82:48)	.	.	-1	.	-3	4	626
102	North-Eastern FU 1 (Dyakonov, Prokopiev, Khokholov)	+1 (53:26)	.	.	.	+ (25:28)	.	+2 (72:40)	.	.	.	+7 (279:40)	-8	4	629
103	South Ural State University 3 (Ashikhmin, Bobykin, Sultanov)	+1 (43:30)	.	.	.	+ (57:35)	+ (231:30)	+4 (201:48)	.	.	.	.	-1	4	632
104	Ural Federal University 5 (Mullabaev, Stikhin, Samodelkin)	+1 (23:21)	.	.	.	+ (36:37)	+10 (299:48)	+ (91:47)	.	.	.	.	-1	4	669
105	Perm State University 1 (Turova, Shartsev, Pushkarev)	+1 (70:39)	.	.	.	+ (48:15)	.	+2 (124:12)	.	.	+6 (251:46)	.	-1	4	673
106	Saratov State University 3 (Ignatyev, Kurylev, Demina)	+ (22:49)	.	.	.	+ (34:13)	+17 (217:08)	+1 (65:31)	.	.	-9	.	-6	4	698
107	I of Space and IT SFU 1 (Rechitskiy, Nikonirov, Laletin)	+ (26:17)	.	.	.	+1 (64:59)	+10 (259:29)	+1 (205:53)	.	.	.	.	.	4	794
108	Alexander Pushkin Brest State University (Stain, Tuzik, Sobin)	+2 (22:05)	.	.	.	+ (31:54)	+17 (268:02)	+3 (60:37)	.	.	-7	.	.	4	821
109	International IT U 4 (Amirov, Chesnokov, Magavina)	+ (28:13)	.	.	.	+1 (18:12)	+7 (282:56)	+12 (287:52)	.	.	-1	.	.	4	1015
110	Far Eastern S Transport U: 1 (Toropov, Usmanov, Pisaniy)	+ (23:26)	.	.	.	+ (29:35)	-4	+ (56:20)	.	.	-4	.	-3	3	108
111	I of Math and CS Siberian FU 1 (Nesterenko, Goncharik, Ryabushev)	+ (20:13)	.	.	.	+ (36:42)	-6	+ (81:51)	.	.	.	.	.	3	137
112	Kazakh-British TU 5 (Dyussenaliyev, Omarov, Sultanov)	+ (35:30)	.	.	.	+ (23:05)	.	+1 (94:59)	.	.	-1	.	-3	3	172
113	Belarusian SU of Information and Radioelectronics 1 (Artiom, Darashkevich, Razhkou)	+ (22:24)	.	.	.	+ (34:44)	-4	+2 (83:28)	.	.	.	.	-4	3	179
114	Nazarbaev U 14 (Imanmalik, Sariyev, Zhiyenbek)	+1 (41:57)	.	.	.	+ (22:56)	-8	+1 (81:53)	.	.	.	.	.	3	184
115	Belarusian SU of Information and Radioelectronics 3 (Chmurov, Astashkevich, Solovyov)	+ (24:30)	.	.	.	+ (35:39)	-12	+ (131:28)	.	.	.	.	.	3	190
116	Tbilisi Freeuni 5 (Sakhelashvili, Pataraia, Abuladze)	+ (27:14)	.	.	.	+ (41:31)	-3	+1 (114:33)	.	.	.	.	.	3	202
117	Suleiman Demirel U 4 (Omarov, Seitov, Zigangirov)	+ (23:34)	.	.	.	+2 (59:33)	-11	+ (116:06)	.	.	.	-8	.	3	238
118	Tbilisi Freeuni 7 (Popkhadze, Silagadze, Margvelashvili)	+1 (37:30)	.	.	.	+ (47:33)	-6	+1 (115:44)	.	.	.	.	.	3	239
119	Novosibirsk STU 1 (Obukhov, Zelenskiy, Kunts)	+2 (31:16)	.	.	.	+1 (46:28)	-2	+1 (85:32)	.	.	.	.	.	3	242
120	Petrozavodsk State University 2 (Alkin, Titov, Ermolin)	+ (34:48)	.	.	.	+ (19:03)	+1 (194:32)	-2	.	.	-6	-1	.	3	267
