Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
158	Yerevan State University 2 (Hambardzumyan, Karagulyan, Galstyan)	+1 (33:35)	.	.	.	+ (43:00)	-2	.	.	.	-4	.	.	2	96
159	Kyrgyz-Russian Slav U 1 (Akparaliev, Pechjorov, Sapozhnikov)	+1 (41:03)	-3	.	.	+ (49:47)	.	.	.	.	-1	.	.	2	110
160	Siberian SU of TI 4 (Bessonov, Bykovskiy, Boldakov)	+ (50:22)	.	.	.	+ (61:42)	.	.	.	.	.	-1	.	2	111
161	Vilnius University 2 (Navickas, Smoliakov, ?alt?nas)	+1 (80:40)	-1	.	.	+ (17:43)	.	-2	.	.	.	.	-8	2	117
162	Tbilisi SU Geo-French (Rekhviashvili, Gozalishvili, Sultanishvili)	+ (44:17)	.	.	.	+ (75:55)	.	.	.	.	.	.	.	2	119
163	Rybinsk State Aviation Technical University 2 (Kozhevnikov, Smirnov, Obolensky)	+1 (37:19)	.	.	.	+ (65:40)	.	-3	.	.	.	.	.	2	122
164	Tashkent U of IT 4 (Axmadaliyev, Qambaraliyev, Sirojiddinov)	+ (35:51)	.	.	.	+ (88:57)	.	.	.	.	.	.	.	2	123
165	Tashkent br of MSU 3 (Korolev, Kosimov, Shin)	+ (37:35)	.	.	.	+1 (69:10)	.	-4	.	.	.	.	.	2	126
166	Inha University (Ismatov, Kamolov, Yusupov)	+ (36:00)	-1	.	.	+2 (66:31)	.	-13	.	.	.	.	.	2	142
167	Samarkand br of TUIT 1 (Narzullayev, Ramatov, Raupov)	+ (45:11)	.	.	.	+1 (78:53)	.	-12	.	.	-9	.	.	2	143
168	Tashkent Islamic U (Abdurasulov, Husanov, Mullamuhamedov)	+1 (36:04)	.	.	.	+ (91:45)	.	-7	.	.	.	.	.	2	147
169	NU of Uzbekistan 3 (Abdikamalov, Kasimov, Li)	+2 (48:13)	.	.	.	+ (67:20)	.	-4	.	.	.	.	.	2	155
170	Urgench br of TUIT 4 (Axmedov, Egamov, Yusupova)	+1 (36:35)	.	.	-9	+1 (84:22)	.	-3	.	.	-2	.	.	2	160
171	East-Siberian STU 1 (Dikikh, Zhigdorzhiev, Bolsoboev)	+2 (56:31)	.	.	.	+ (78:27)	.	-4	.	.	.	.	.	2	174
172	NU of Uzbekistan 1 (Abdurakhmonov, Shohrux, Umarov)	+1 (53:21)	-4	.	.	+ (110:09)	.	.	.	.	.	.	.	2	183
173	Siberian SU of TI 2 (Chusovitin, Mironenko, Aniskina)	+1 (66:56)	.	.	.	+1 (91:46)	.	-5	.	.	.	.	.	2	197
174	I of Space and IT SFU 2 (Halturin, Gritsiv, Levanyuk)	+1 (94:32)	.	.	-4	+ (85:58)	.	.	.	.	.	.	.	2	199
175	NU of Uzbekistan 2 (Habibullayev, Mattiev, Yuldashev)	+1 (145:16)	.	.	.	+ (45:30)	.	-12	.	.	.	.	.	2	210
176	Samarkand br of TUIT 2 (Babayan, Rakhmonov, Rakhmonov)	+2 (40:36)	.	.	.	+2 (95:30)	.	-1	.	.	.	.	.	2	215
176	Fergana br of TUIT (Abdujabborov, Gafurov, Muxtorov)	+ (107:38)	.	.	.	+2 (68:22)	.	.	.	.	.	.	.	2	215
178	Baku Branch of Moscow State University 1 (Yahyayev, Veliyev, Kazimi)	+ (88:56)	.	.	.	+3 (74:56)	.	-1	.	.	.	-3	.	2	222
179	Tomsk PU 3 (Zhuravlev, Komarov, Cherepov)	+1 (83:07)	.	.	.	+1 (111:26)	.	-1	.	.	.	.	.	2	234
180	Tbilisi SU 7 (Bukuri, Babunashvili, Gachechiladze)	+1 (97:53)	-1	.	.	+ (122:58)	.	-1	.	.	.	-2	.	2	239
