Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	Kazakh-British TU 5	+ (80:24)	+ (11:50)	+ (28:40)	+ (20:59)	.	.	.	+ (36:03)	+ (56:20)	+ (49:16)	+5 (241:26)	8	621
2	Kazakh-British TU 1	+ (119:41)	+ (22:25)	+ (35:30)	+ (10:43)	.	-10	.	+1 (61:36)	+1 (104:01)	+ (94:55)	.	7	485
3	Kazakh-British TU 3	+1 (157:52)	+ (26:20)	+ (39:10)	+ (21:21)	.	-5	.	+1 (59:11)	+ (84:06)	+1 (124:22)	.	7	570
4	Kazakh-British TU 2	+ (169:37)	+ (33:50)	+ (43:18)	+ (18:10)	.	-3	.	+1 (117:50)	+1 (109:51)	+ (90:07)	.	7	619
5	Kazakh-British TU 15	+ (224:57)	+ (37:26)	+ (57:26)	+ (30:26)	-1	.	.	+ (87:35)	+ (184:39)	+ (152:40)	.	7	771
6	Kazakh-British TU 4	+ (195:53)	+2 (95:07)	+ (51:24)	+ (35:23)	.	-3	.	+2 (146:26)	+ (158:32)	+3 (83:01)	.	7	903
7	Kazakh-British TU 13	+1 (274:45)	+3 (71:41)	+ (100:36)	+1 (29:05)	.	-22	.	+ (130:10)	+3 (251:44)	+1 (92:46)	.	7	1127
8	Suleyman Demirel U 1	+1 (240:02)	+6 (128:38)	+ (46:21)	+ (40:41)	.	.	-3	+1 (202:21)	+ (140:08)	+1 (288:58)	.	7	1264
9	Suleyman Demirel U 6	+1 (161:23)	+ (22:55)	+ (51:26)	+1 (31:03)	.	-1	.	+ (70:33)	+ (94:09)	-10	.	6	469
10	Kazakh-British TU 11	-2	+2 (98:13)	+ (56:42)	+ (71:38)	.	.	.	+ (199:09)	+1 (154:41)	+1 (63:15)	.	6	721
11	Suleyman Demirel U 5	+5 (275:55)	+8 (124:07)	+3 (73:35)	+ (17:25)	.	.	.	.	+1 (223:40)	+2 (179:13)	.	6	1271
