Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
32	Suleyman Demirel U 15	.	.	+3 (221:20)	-7	.	+ (181:28)	.	+ (133:13)	.	.	.	3	595
33	Kazakh-British TU 12	.	-4	+ (290:28)	-3	.	+3 (239:56)	.	+ (19:54)	.	-1	.	3	608
34	KazNTU_tk_team2	.	-2	+ (297:43)	-5	.	+ (235:02)	.	+1 (66:44)	.	-2	.	3	618
35	Infb 06-3p KazNtu #1	.	-5	+3 (291:44)	-2	.	+ (294:27)	.	+1 (31:16)	.	-4	.	3	696
36	AIPET4	.	.	.	.	.	+8 (287:10)	+ (204:10)	+2 (43:25)	.	-5	.	3	734
37	Kazakh NU 2	.	.	-4	.	.	+ (150:14)	.	+ (31:23)	.	.	.	2	181
38	KazNTU_tk_team1	.	-5	-1	-4	.	+ (181:31)	.	+ (41:19)	.	.	.	2	222
39	Kazakh-British TU 10	.	.	-1	.	-4	+2 (167:12)	.	+ (33:32)	.	-1	.	2	240
40	Kazakh-British TU 9	.	-3	-1	-1	.	-1	+ (235:19)	+ (29:57)	.	.	.	2	264
41	KazNPUTeam	.	.	-1	-4	.	+ (277:36)	.	+ (45:22)	.	.	.	2	322
42	Kazakh NU 5	.	.	-1	-13	.	+1 (154:15)	.	+3 (125:56)	.	.	.	2	359
43	Kazakh-British TU 15	.	-2	.	.	.	.	.	+ (20:56)	.	.	.	1	20
44	West Kazakhstan SU1	.	.	.	.	.	-7	.	+ (23:01)	.	-1	.	1	23
45	AIPET3	.	.	-10	-9	.	-8	.	+ (25:46)	.	-2	.	1	25
46	West Kazakhstan EHU	.	.	.	-17	.	.	.	+ (27:34)	.	.	.	1	27
47	KazNTU_tk_team3	.	.	.	-5	.	.	.	+ (28:21)	.	.	.	1	28
48	Kazakh NU 4	.	.	-1	.	.	-7	.	+ (39:51)	.	-1	.	1	39
48	East Kazakhstan STU	-4	.	.	-3	.	-3	.	+ (39:53)	.	-2	.	1	39
50	KazNTU_tk_team4	.	-1	.	.	.	-14	.	+ (41:47)	.	.	.	1	41
51	Kazakh NU 11	.	.	.	-1	.	.	.	+ (53:59)	.	.	.	1	53
52	AIPET2	.	-4	.	-2	.	.	.	+1 (34:57)	.	-1	.	1	54
53	KazNPUTeam3	-1	-1	-9	.	.	.	.	+ (57:03)	.	.	-1	1	57
54	Karaganda STU 3	.	.	.	-2	.	-5	.	+1 (47:13)	.	.	.	1	67
55	KAZNTU_POSIS_team4	.	.	.	.	.	-4	.	+ (69:14)	.	-4	.	1	69
56	Kostanay STU	.	.	.	.	.	-5	.	+ (88:18)	.	.	.	1	88
57	Kazakh NU 15	.	-3	.	.	.	-5	.	+ (114:02)	.	.	.	1	114
58	KazNTU_tk_team8	.	.	.	-2	.	-1	.	+2 (80:54)	.	.	.	1	120
59	KokshetauSU	.	.	.	.	.	.	.	+1 (119:58)	.	-2	.	1	139
60	South Kazakhstan SU	.	.	.	.	-6	.	.	+ (164:23)	.	-1	.	1	164
61	Kyzylorda SU Idea	.	.	.	.	.	.	.	+ (199:12)	.	.	.	1	199
62	AIPET5	.	.	.	.	.	.	.	+ (217:38)	.	-1	.	1	217
63	Kazakh NU 13	.	-6	.	-5	.	.	.	+1 (211:34)	.	.	.	1	231
64	KazNTU_tk_team5	-1	-3	-1	-2	-1	-1	-1	+3 (194:10)	-2	-2	-2	1	254
65	KAZNTU_POSIS_team2	-3	.	.	.	.	-1	.	+ (266:56)	.	-3	.	1	266
66	AIPET7	.	.	.	.	.	.	.	.	.	.	.	0	0
66	KazNTU_tk_team6	-1	.	.	-4	.	-3	.	-13	.	.	.	0	0
66	KazNTU_tk_team7	.	.	.	-21	-15	.	.	-3	.	-3	.	0	0
66	KAZNTU_POSIS_team5	.	.	.	.	.	.	.	-11	.	.	.	0	0
66	Kazakh NU 3	.	.	.	.	.	.	.	.	.	.	.	0	0
66	Kazakh NU 6	.	.	.	.	.	.	.	.	.	.	.	0	0
66	Kazakh NU 7	.	.	.	.	.	-1	.	.	.	.	.	0	0
66	Kazakh NU 8	.	.	.	.	.	-6	.	.	.	.	.	0	0
66	Kazakh NU 9	.	.	.	-1	.	.	.	-6	.	.	.	0	0
66	Kazakh NU 10	.	.	.	.	.	.	.	-2	.	.	.	0	0
66	Kazakh NU 12	.	-2	.	.	.	.	.	-5	.	-1	.	0	0
66	Kazakh NU 14	.	.	.	-4	.	-2	.	-1	.	.	.	0	0
66	Kostanay SU	.	.	.	.	.	.	.	.	.	.	.	0	0
66	RudnyII	.	.	.	.	.	.	.	.	.	.	.	0	0
66	Suleyman Demirel U 12	.	.	.	.	.	.	.	.	.	.	.	0	0
66	Suleyman Demirel U 13	.	.	.	.	.	.	.	.	.	.	.	0	0
66	Suleyman Demirel U 14	.	.	.	.	.	.	.	.	.	.	.	0	0
66	West Kazakhstan SU2	.	.	.	.	.	.	.	-1	.	.	.	0	0
	Total runs	46	86	113	247	67	153	12	134	3	48	27
	Accepted	7	4	34	12	6	41	10	69	1	1	6
	Rejected	39	82	79	235	61	112	2	65	2	47	21
	First Accept	62:48	23:40	34:08	40:55	50:39	22:34	181:51	9:53	161:01	130:10	76:36
	Last Accept	271:41	290:11	298:38	294:50	244:02	294:27	284:25	294:16	161:01	130:10	286:46
